"Name","Link","Floor","7D Sales","Vol.","NA","XP Rank"
"Gazers by Matt Kane","https://opensea.io/collection/gazers-by-matt-kane","10.30 ETH","1","28.50 ETH",NA,60
"Geometric Fluidity","https://opensea.io/collection/geometric-fluidity-2","0.1355 ETH","176","28.40 ETH",NA,61
"Kanpai Pandas","https://opensea.io/collection/kanpai-pandas","0.4693 ETH","55","26.31 ETH",NA,62
"onchain gaias","https://opensea.io/collection/onchain-gaias","0.31 ETH","49","25.66 ETH",NA,63
"HoneyJar Gen 6","https://opensea.io/collection/hj6-2","0.76 ETH","33","25.08 ETH",NA,64
"Bit Bears by Berachain","https://opensea.io/collection/berachain-bit-bears","6.70 ETH","5","25.15 ETH",NA,65
"Space Doodles","https://opensea.io/collection/space-doodles-official","3.80 ETH","7","24.73 ETH",NA,66
"BEEPLE: EVERYDAYS - THE 2020 COLLECTION","https://opensea.io/collection/beeple-everydays","8.80 ETH","3","24.08 ETH",NA,67
"HYTOPIA Worlds","https://opensea.io/collection/topia-worlds","0.4586 ETH","47","21.86 ETH",NA,68
"No More Liquidity: Genesis Pass","https://opensea.io/collection/no-more-liquidity","3.75 ETH","5","22.35 ETH",NA,69
"Impostors Genesis Aliens","https://opensea.io/collection/impostors-genesis-aliens","0.2205 ETH","99","21.52 ETH",NA,70
"DeGods","https://opensea.io/collection/degods-eth","0.5393 ETH","33","21.17 ETH",NA,71
"Gs on Ape","https://opensea.io/collection/gs-on-ape","950.00 APE","85","82.4K APE",NA,72
"Nexus Nodes","https://opensea.io/collection/nexusnodes","1.0799 ETH","20","20.54 ETH",NA,73
"Opepen Edition","https://opensea.io/collection/opepen-edition","0.1154 ETH","104","20.06 ETH",NA,74
"Cambria Founders","https://opensea.io/collection/cambriafounders","0.685 ETH","33","19.87 ETH",NA,75
"Chimpers","https://opensea.io/collection/chimpersnft","0.3249 ETH","64","19.67 ETH",NA,76
"Checks - VV Originals","https://opensea.io/collection/vv-checks-originals","0.206 ETH","68","18.66 ETH",NA,77
"AlphaSharks NFT","https://opensea.io/collection/alphasharksofficial","0.177 ETH","153","18.53 ETH",NA,78
